Countriesandareas,Year,National
Ghana,1993,59
Ghana,1998,62
Ghana,2003,69
Ghana,2006,73
Ghana,2007,77
Ghana,2008,78
Ghana,2011,87
Ghana,2014,87
Guatemala,2015,86
Guinea,1992,25
Guinea,1999,46
Guinea,2005,49
Guinea,2007,50
Guinea,2012,57
Guinea,2016,51
Guinea-Bissau,2010,68
Guinea-Bissau,2014,65
Guyana,2009,79
Guyana,2014,87
Haiti,1995,36
Haiti,2000,44
Haiti,2006,54
Haiti,2012,67
Haiti,2017,67
Honduras,2001,59
Honduras,2006,81
Honduras,2012,89
India,1993,27
India,1999,30
India,2006,37
India,2014,45
India,2016,51
Indonesia,1991,55
Indonesia,1994,63
Indonesia,1997,70
Indonesia,2003,81
Indonesia,2007,82
Indonesia,2012,88
Indonesia,2013,84
Iran(IslamicRepublicof),2005,94
Iraq,2011,50
Italy,2003,68
Jamaica,1997,87
Jamaica,2008,87
Jamaica,2011,86
Jordan,1990,67
Jordan,1997,86
Jordan,2002,91
Jordan,2007,94
Jordan,2012,95
Kazakhstan,1995,82
Kazakhstan,1999,70
Kazakhstan,2011,87
Kazakhstan,2015,95
Kenya,1993,64
Kenya,1998,61
Kenya,2003,52
Kenya,2009,47
Kenya,2014,58
Kiribati,2009,71
Kyrgyzstan,1997,81
Kyrgyzstan,2012,84
Kyrgyzstan,2014,95
LaoPeople'sDemocraticRepublic,2012,37
Lesotho,2004,70
Lesotho,2009,70
Lesotho,2014,74
Liberia,2007,66
Liberia,2013,78
Luxembourg,2011,97
Madagascar,1992,43
Madagascar,1997,40
Madagascar,2004,40
Madagascar,2009,49
Madagascar,2013,51
Malawi,1992,63
Malawi,2000,56
Malawi,2004,57
Malawi,2010,46
Malawi,2014,45
Malawi,2016,51
Maldives,1999,65
Maldives,2004,91
Maldives,2009,85
Mali,1996,26
Mali,2001,30
Mali,2006,35
Mali,2010,35
Mali,2015,38
MarshallIslands,2007,77
Mauritania,2001,16
Mauritania,2011,48
Mauritania,2015,63
Mexico,2006,88
Mexico,2009,86
Mexico,2012,91
Mexico,2015,94
Mongolia,2010,81
Mongolia,2013,90
Mongolia,2014,90
Montenegro,2013,87
Morocco,1995,12
Morocco,2004,31
Morocco,2011,55
Mozambique,1997,37
Mozambique,2003,53
Mozambique,2011,51
Myanmar,2001,66
Myanmar,2007,73
Myanmar,2016,59
Namibia,1992,56
Namibia,2000,69
Namibia,2007,70
Namibia,2013,63
Nauru,2007,40
Nepal,1996,9
Nepal,2001,14
Nepal,2006,29
Nepal,2011,50
Nepal,2014,60
Nepal,2016,69
Nicaragua,1998,62
Nicaragua,2001,72
Nicaragua,2007,78
Nicaragua,2012,88
Niger,1992,8
Niger,1998,11
Niger,2006,15
Niger,2012,33
Niger,2015,38
Nigeria,1990,52
Nigeria,1999,47
Nigeria,2003,47
Nigeria,2008,45
Nigeria,2011,57
Nigeria,2013,51
Nigeria,2017,49
Oman,2006,83
Oman,2007,86
Oman,2008,96
Oman,2012,80
Oman,2014,94
Pakistan,1991,14
Pakistan,2007,28
Pakistan,2013,37
Palau,2007,88
Palau,2010,81
Panama,2013,88
PapuaNewGuinea,2006,55
Paraguay,1990,65
Paraguay,2004,79
Paraguay,2008,91
Paraguay,2015,83
Paraguay,2016,94
Peru,1992,47
Peru,1996,54
Peru,2000,69
Peru,2004,87
Peru,2006,87
Peru,2009,93
Peru,2010,93
Peru,2011,94
Peru,2012,94
Peru,2013,95
Peru,2014,95
Peru,2015,96
Philippines,1993,52
Philippines,1998,77
Philippines,2003,70
Philippines,2008,78
Philippines,2011,78
Philippines,2013,84
Qatar,2012,85
RepublicofKorea,2012,97
RepublicofMoldova,1997,87
RepublicofMoldova,2005,89
RepublicofMoldova,2012,95
Romania,1999,59
Romania,2004,76
Rwanda,1992,12
Rwanda,2000,10
Rwanda,2005,13
Rwanda,2008,24
Rwanda,2010,35
Rwanda,2015,44
SaintLucia,2012,90
SaintVincentandtheGrenadines,2009,100
Samoa,2009,58
Samoa,2014,73
SaoTomeandPrincipe,2009,72
SaoTomeandPrincipe,2014,84
Senegal,1993,13
Senegal,1997,17
Senegal,2005,40
Senegal,2011,50
Senegal,2013,47
Senegal,2014,48
Senegal,2015,47
Serbia,2010,94
Serbia,2014,94
SierraLeone,2008,56
SierraLeone,2010,75
SierraLeone,2013,76
SolomonIslands,2007,65
SolomonIslands,2015,69
Somalia,2006,6
SouthAfrica,1998,73
SouthAfrica,2003,56
SouthAfrica,2008,87
SouthAfrica,2016,76
SouthSudan,2010,17
SriLanka,2007,93
StateofPalestine,2010,94
StateofPalestine,2014,96
Sudan,2010,47
Sudan,2014,51
Suriname,2010,67
Swaziland,2007,79
Swaziland,2010,77
Swaziland,2014,76
SyrianArabRepublic,2009,64
Tajikistan,2007,49
Tajikistan,2012,53
Thailand,2009,80
Thailand,2012,93
Thailand,2013,93
Thailand,2016,91
TheformerYugoslavRepublicofMacedonia,2011,94
Timor-Leste,2003,30
Timor-Leste,2010,55
Togo,1998,46
Togo,2010,55
Togo,2014,57
Tonga,2012,70
TrinidadandTobago,2011,87
TrinidadandTobago,2013,100
Tunisia,2006,68
Tunisia,2012,85
Turkey,1993,36
Turkey,1998,42
Turkey,2003,54
Turkey,2008,74
Turkey,2013,89
Turkmenistan,2000,83
Turkmenistan,2016,96
Tuvalu,2007,67
Uganda,1995,47
Uganda,2001,42
Uganda,2006,47
Uganda,2011,48
Uganda,2016,60
Ukraine,2007,75
Ukraine,2012,87
UnitedRepublicofTanzania,1992,70
UnitedRepublicofTanzania,1996,70
UnitedRepublicofTanzania,1999,70
UnitedRepublicofTanzania,2005,62
UnitedRepublicofTanzania,2010,43
UnitedRepublicofTanzania,2016,51
UnitedStates,2011,97
Uruguay,2007,90
Uruguay,2013,77
Uzbekistan,1996,79
Vanuatu,2013,52
Venezuela(BolivarianRepublicof),2012,61
Venezuela(BolivarianRepublicof),2013,84
VietNam,1997,15
VietNam,2002,29
VietNam,2011,60
VietNam,2014,74
Yemen,1997,11
Yemen,2003,14
Yemen,2013,25
Zambia,1992,69
Zambia,1996,71
Zambia,2002,72
Zambia,2007,60
Zambia,2014,56
Zimbabwe,1994,74
Zimbabwe,1999,64
Zimbabwe,2006,71
Zimbabwe,2009,57
Zimbabwe,2011,65
Zimbabwe,2014,70
Zimbabwe,2015,76
,,
,,
,,
,,
